item,price
Asus VivoBook X441NA-GA190,$295.99
Prestigio SmartBook 133S Dark Grey,$299.00
Prestigio SmartBook 133S Gold,$299.00
Aspire E1-510,$306.99
Lenovo V110-15IAP,$321.94
Lenovo V110-15IAP,$356.49
Hewlett Packard 250 G6 Dark Ash Silver,$364.46
Acer Aspire 3 A315-31 Black,$372.70
Acer Aspire A315-31-C33J,$379.94
Acer Aspire ES1-572 Black,$379.95
Acer Aspire 3 A315-31 Black,$391.48
Acer Aspire 3 A315-21,$393.88
Asus VivoBook Max,$399.00
Asus VivoBook E502NA-GO022T Dark Blue,$399.99
Lenovo ThinkPad E31-80,$404.23
Acer Aspire 3 A315-31 Black,$408.98
Lenovo V110-15ISK,$409.63
Acer Aspire ES1-732 Black,$410.46
Asus VivoBook 15 X540NA-GQ026T,$410.66
Packard 255 G2,$416.99
Asus EeeBook R416NA-FA014T,$433.30
Acer Aspire 3 A315-51,$436.29
Acer Aspire ES1-572 Black,$436.29
Acer Extensa 15 (2540) Black,$439.73
Acer Aspire ES1-572 Black,$454.62
Lenovo V110-15ISK,$454.73
Acer Aspire A315-51-33TG,$457.38
Lenovo V110-15IKB,$465.95
Asus VivoBook 15 X540UA-DM260 Chocolate Black,$468.56
Acer Aspire ES1-572 Black,$469.10
Lenovo V510 Black,$484.23
Acer Aspire ES1-572 Black,$485.90
Lenovo V510 Black,$487.80
Acer Swift 1 SF113-31 Silver,$488.64
Dell Vostro 15,$488.78
Acer Aspire 3 A315-51 Black,$494.71
Dell Vostro 15 (3568) Red,$497.17
Lenovo V510 Black,$498.23
HP 250 G3,$520.99
Acer Spin 5,$564.98
HP 350 G1,$577.99
Aspire E1-572G,$581.99
Pavilion,$609.99
Acer Aspire A515-51-5654,$679.00
Dell Inspiron 15,$679.00
Asus VivoBook S14,$729.00
ProBook,$739.99
Inspiron 15,$745.99
Asus ROG STRIX GL553VD-DM256,$799.00
Acer Nitro 5 AN515-51,$809.00
Asus ROG STRIX GL553VD-DM256,$899.00
Lenovo ThinkPad L570,$999.00
ThinkPad Yoga,$1033.99
Lenovo ThinkPad L460,$1096.02
Dell Inspiron 15 (7567) Black,$1098.42
MSI GL72M 7RDX,$1099.00
MSI GL72M 7RDX,$1099.00
Asus ROG Strix GL553VD-DM535T,$1101.83
Dell Latitude 5280,$1102.66
Dell Latitude 5480,$1110.14
Lenovo Legion Y520-15IKBM,$1112.91
Toshiba Portege Z30-C-16J Grey,$1114.55
Acer Predator Helios 300 (PH317-51),$1123.87
Acer Aspire 7 A715-71G,$1123.87
Dell Inspiron 17 2in1 (7779) Silver,$1124.20
Dell Latitude 5480,$1133.82
Lenovo Legion Y520,$1133.91
Asus AsusPro Advanced BU401LA-FA271G Dark Grey,$1139.54
Acer Nitro 5 AN515-51,$1140.62
Dell Latitude 5480,$1143.40
Dell Inspiron 15 (7567) Black,$1144.20
Dell Latitude 5580,$1144.40
Lenovo Legion Y520-15IKBM,$1149.00
MSI GP62M 7RDX Leopard,$1149.00
Lenovo Yoga 720 Grey,$1149.73
Toshiba Portege Z30-C-16L Grey,$1154.04
Acer TravelMate P645-S-511A Black,$1170.10
Dell Latitude 5580,$1178.19
ThinkPad T540p,$1178.99
MSI GS63 7RD Stealth,$1179.00
Dell Latitude 5480,$1187.88
Acer Predator Helios 300 (PH317-51),$1187.98
MSI GL62M 7REX,$1199.00
MSI GL62M 7REX2,$1199.00
Lenovo Yoga 910 Grey,$1199.73
Toshiba Portege X30-D-10J Black/Blue,$1203.41
Lenovo IdeaPad Miix 510 Platinum Silver,$1212.16
Acer Predator Helios 300 (PH317-51),$1221.58
ThinkPad Yoga,$1223.99
Asus VivoBook Pro 15 N580VN-FI006T Gold Metal,$1235.49
Dell Latitude 5480,$1238.37
Asus ZenBook UX530UX-FY040T Blue,$1239.20
ThinkPad X230,$1244.99
Asus ROG Strix GL753VE-GC096T,$1259.00
"Apple MacBook Air 13""",$1260.13
Dell Latitude 5480,$1271.06
Hewlett Packard Spectre 13-v106na Dark Ash Silver,$1273.11
Dell XPS 13,$1281.99
Toshiba Portege Z30-C-16K Grey,$1294.74
MSI GL62VR 7RFX,$1299.00
Dell Latitude 5480,$1310.39
ThinkPad X240,$1311.99
Hewlett Packard ProBook 640 G3,$1326.83
"Apple MacBook Pro 13"" Space Gray",$1333.00
Dell Latitude 5580,$1337.28
Dell Latitude 5480,$1338.37
Dell Latitude 5580,$1341.22
"Apple MacBook Air 13""",$1347.78
Lenovo ThinkPad T470,$1349.23
Lenovo ThinkPad Yoga 370 Black,$1362.24
Toshiba Portege X20W-D-10V Black/Blue,$1366.32
Asus ASUSPRO B9440UA-GV0279R Gray,$1381.13
Lenovo Legion Y720,$1399.00
Asus ROG Strix GL702VM-GC146T,$1399.00
Asus ROG Strix GL702ZC-GC154T,$1769.00
Asus ROG Strix GL702ZC-GC209T,$1769.00
Asus ROG Strix SCAR Edition GL503VM-ED115T,$1799.00
